exp_1751760000,2025-06-29T11:00:00Z,2025-06-29,15.50,Weekend coffee,Food & Drink,MYR,

exp_1736400000,2025-01-05T11:00:00Z,2025-01-05,65.00,Sunday brunch at Lisette's,Food & Drink,MYR,
exp_1737000000,2025-01-15T09:00:00Z,2025-01-15,188.50,TNB Electricity Bill,Bills,MYR,
exp_1738100000,2025-01-28T18:30:00Z,2025-01-28,25.00,Grab ride home from work,Transport,MYR,
exp_1738800000,2025-02-01T14:00:00Z,2025-02-01,299.90,New shoes from Zara,Shopping,MYR,https://via.placeholder.com/150
exp_1739900000,2025-02-14T20:00:00Z,2025-02-14,250.00,Valentine's Dinner,Entertainment,MYR,
exp_1740500000,2025-02-20T17:00:00Z,2025-02-20,145.70,Groceries from Jaya Grocer,Groceries,MYR,
exp_1741700000,2025-03-10T09:15:00Z,2025-03-10,12.00,Coffee with colleague,Food & Drink,MYR,
exp_1743600000,2025-03-30T10:00:00Z,2025-03-30,45.00,Netflix Subscription,Bills,MYR,
exp_1744600000,2025-04-12T16:00:00Z,2025-04-12,40.00,GSC movie tickets,Entertainment,MYR,
exp_1746200000,2025-04-30T09:00:00Z,2025-04-30,150.00,Impulse gadget purchase,Shopping,MYR,
exp_1746355200,2025-05-01T12:00:00Z,2025-05-01,15.00,Holiday surcharge parking,Transport,MYR,
exp_1746441600,2025-05-02T18:00:00Z,2025-05-02,55.00,Friday night dinner,Food & Drink,MYR,
exp_1746528000,2025-05-03T15:00:00Z,2025-05-03,280.00,Shopping at Mid Valley,Shopping,MYR,
exp_1746614400,2025-05-04T13:00:00Z,2025-05-04,60.00,Brunch with family,Food & Drink,MYR,
exp_1746700800,2025-05-05T09:00:00Z,2025-05-05,18.00,Grab to work,Transport,MYR,
exp_1746787200,2025-05-06T12:30:00Z,2025-05-06,15.00,Economy rice lunch,Food & Drink,MYR,
exp_1746873600,2025-05-07T08:45:00Z,2025-05-07,16.50,Starbucks coffee,Food & Drink,MYR,
exp_1746960000,2025-05-08T19:00:00Z,2025-05-08,22.00,Foodpanda delivery,Food & Drink,MYR,
exp_1747046400,2025-05-09T09:00:00Z,2025-05-09,8.50,LRT Fare,Transport,MYR,
exp_1747132800,2025-05-10T20:00:00Z,2025-05-10,130.00,Dinner at Chili's,Food & Drink,MYR,
exp_1747219200,2025-05-11T16:00:00Z,2025-05-11,25.00,Snacks for home,Groceries,MYR,
exp_1747305600,2025-05-12T12:00:00Z,2025-05-12,7.00,Roti Canai,Food & Drink,MYR,
exp_1747392000,2025-05-13T18:00:00Z,2025-05-13,19.00,Grab ride,Transport,MYR,
exp_1747478400,2025-05-14T09:00:00Z,2025-05-14,14.00,Breakfast set,Food & Drink,MYR,
exp_1747564800,2025-05-15T18:00:00Z,2025-05-15,175.40,Weekly groceries,Groceries,MYR,
exp_1747651200,2025-05-16T19:30:00Z,2025-05-16,38.00,Friday Mamak session,Food & Drink,MYR,
exp_1747737600,2025-05-17T14:00:00Z,2025-05-17,44.00,Movie tickets,Entertainment,MYR,
exp_1747824000,2025-05-18T13:00:00Z,2025-05-18,5.00,Parking at mall,Transport,MYR,
exp_1747910400,2025-05-19T09:00:00Z,2025-05-19,17.00,Morning coffee,Food & Drink,MYR,
exp_1747996800,2025-05-20T12:00:00Z,2025-05-20,25.00,Salad lunch,Food & Drink,MYR,
exp_1748083200,2025-05-21T18:00:00Z,2025-05-21,30.00,Grab ride home,Transport,MYR,
exp_1748169600,2025-05-22T08:30:00Z,2025-05-22,4.50,7-Eleven drink,Food & Drink,MYR,
exp_1748256000,2025-05-23T20:00:00Z,2025-05-23,88.00,Dinner with client,Food & Drink,MYR,
exp_1748342400,2025-05-24T16:00:00Z,2025-05-24,199.00,New keyboard,Shopping,MYR,
exp_1748428800,2025-05-25T11:00:00Z,2025-05-25,120.00,Monthly Bills,Bills,MYR,
exp_1748515200,2025-05-26T09:00:00Z,2025-05-26,5.50,LRT Ticket,Transport,MYR,
exp_1748601600,2025-05-27T12:00:00Z,2025-05-27,15.00,Chicken Rice,Food & Drink,MYR,
exp_1748688000,2025-05-28T08:00:00Z,2025-05-28,18.00,Starbucks,Food & Drink,MYR,
exp_1748774400,2025-05-29T19:00:00Z,2025-05-29,27.00,Foodpanda,Food & Drink,MYR,
exp_1748860800,2025-05-30T20:00:00Z,2025-05-30,250.00,Concert Tickets,Entertainment,MYR,
exp_1748947200,2025-05-31T14:00:00Z,2025-05-31,85.00,Uniqlo shopping,Shopping,MYR,
exp_1749000000,2025-06-01T10:00:00Z,2025-06-01,90.00,Petrol for the month,Transport,MYR,
exp_1750200000,2025-06-15T15:00:00Z,2025-06-15,85.50,Book from Kinokuniya,Shopping,MYR,
exp_1750900000,2025-06-24T19:00:00Z,2025-06-24,120.00,New headphones,Shopping,MYR,
exp_1751500000,2025-06-28T20:30:00Z,2025-06-28,180.00,Dinner with family at Batai,Food & Drink,MYR,
exp_1751600000,2025-06-29T08:30:00Z,2025-06-29,7.50,Nasi Lemak Breakfast,Food & Drink,MYR,
exp_1751600001,2025-06-29T09:15:00Z,2025-06-29,12.00,Coffee at Starbucks,Food & Drink,MYR,
exp_1751600002,2025-06-29T10:05:00Z,2025-06-29,5.50,LRT Ticket to KLCC,Transport,MYR,
